n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1971.0,2.0,0.0,27.0,0.001,4.0,4.0,0.999993063,0.0,0.0,27.0
2000.0,0.0,0.0,1962.0,10.0,1.0,27.0,0.005,6.0,10.0,0.999985692933,0.0,0.0,27.0
2000.0,0.0,0.0,1936.0,18.0,3.0,43.0,0.009,8.0,18.0,0.9999813621966029,0.0,0.0,43.0
2000.0,0.0,0.0,1903.0,26.0,14.0,57.0,0.013,8.0,26.0,0.9999686469368336,0.0,0.0,57.0
2000.0,0.0,0.0,1865.0,38.0,28.0,69.0,0.019,14.0,40.0,0.9999525776144021,0.0,0.0,69.0
2000.0,0.0,0.0,1823.0,52.0,45.0,80.0,0.026,15.0,55.0,0.9999341754158725,0.0,0.0,80.0
2000.0,0.0,0.0,1773.0,69.0,70.0,88.0,0.0345,11.0,66.0,0.9999139568371295,0.0,0.0,88.0
2000.0,0.0,0.0,1710.0,86.0,91.0,113.0,0.043,21.0,87.0,0.9998899562255954,0.0,0.0,113.0
2000.0,0.0,0.0,1648.0,106.0,110.0,136.0,0.053,22.0,109.0,0.9998597301195651,0.0,0.0,136.0
2000.0,0.0,0.0,1543.0,128.0,140.0,189.0,0.064,25.0,134.0,0.999828785048489,0.0,0.0,189.0
2000.0,0.0,0.0,1423.0,171.0,181.0,225.0,0.0855,43.0,177.0,0.9997763164830527,0.0,3.0,225.0
2000.0,0.0,0.0,1314.0,206.0,218.0,262.0,0.103,30.0,207.0,0.9982158966347051,0.0,3.0,262.0
1998.0,2.0,0.0,1196.0,253.0,266.0,283.0,0.12662662662662663,54.0,261.0,0.9981560205649928,0.0,3.0,283.0
1998.0,0.0,2.0,1059.0,297.0,313.0,329.0,0.14864864864864866,42.0,303.0,0.9980917283799079,0.0,3.0,329.0
1995.0,3.0,2.0,938.0,345.0,386.0,326.0,0.17293233082706766,57.0,360.0,0.9980156273244887,0.0,3.0,326.0
