n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1978.0,2.0,0.0,20.0,0.001,3.0,3.0,0.999993063,0.0,0.0,20.0
2000.0,0.0,0.0,1967.0,6.0,1.0,26.0,0.003,4.0,7.0,0.999989161433,0.0,0.0,26.0
2000.0,0.0,0.0,1948.0,19.0,2.0,31.0,0.0095,13.0,20.0,0.999983808480103,0.0,0.0,31.0
2000.0,0.0,0.0,1918.0,24.0,9.0,49.0,0.012,5.0,25.0,0.999974539703782,0.0,0.0,49.0
2000.0,0.0,0.0,1880.0,35.0,19.0,66.0,0.0175,11.0,36.0,0.9999599038464481,0.0,0.0,66.0
2000.0,0.0,0.0,1830.0,47.0,34.0,89.0,0.0235,14.0,50.0,0.99994143571183,0.0,0.0,89.0
2000.0,0.0,0.0,1774.0,64.0,57.0,105.0,0.032,20.0,70.0,0.9999171877904236,0.0,0.0,105.0
2000.0,0.0,0.0,1707.0,87.0,84.0,122.0,0.0435,16.0,86.0,0.9998901851003097,0.0,0.0,122.0
2000.0,0.0,0.0,1625.0,113.0,114.0,148.0,0.0565,27.0,113.0,0.999857479434407,0.0,0.0,148.0
2000.0,0.0,0.0,1517.0,137.0,149.0,197.0,0.0685,22.0,135.0,0.9998176356194972,0.0,0.0,197.0
2000.0,0.0,0.0,1410.0,174.0,179.0,237.0,0.087,35.0,170.0,0.9997652673989219,0.0,9.0,237.0
2000.0,0.0,0.0,1279.0,228.0,231.0,262.0,0.114,59.0,229.0,0.9952099019923314,0.0,9.0,262.0
1998.0,2.0,0.0,1145.0,269.0,278.0,306.0,0.13463463463463463,37.0,266.0,0.9951446293744005,0.0,9.0,306.0
1998.0,0.0,2.0,1027.0,319.0,339.0,313.0,0.15965965965965967,57.0,323.0,0.9950730072100309,0.0,9.0,313.0
1995.0,3.0,2.0,900.0,374.0,386.0,335.0,0.187468671679198,54.0,377.0,0.9950069846451406,0.0,9.0,335.0
1995.0,0.0,5.0,789.0,436.0,442.0,328.0,0.21854636591478696,62.0,439.0,0.9949361057833344,0.0,9.0,328.0
1989.0,6.0,5.0,698.0,490.0,500.0,301.0,0.2463549522373052,68.0,507.0,0.9948703243312843,0.0,9.0,301.0
1989.0,0.0,11.0,638.0,535.0,552.0,264.0,0.26897938662644544,46.0,553.0,0.9948105854123027,0.0,9.0,264.0
1987.0,2.0,11.0,582.0,569.0,584.0,252.0,0.2863613487669854,39.0,592.0,0.9947652581435921,0.0,9.0,252.0
1985.0,2.0,13.0,555.0,592.0,610.0,228.0,0.2982367758186398,38.0,630.0,0.9947158793202998,0.0,9.0,228.0
1984.0,1.0,15.0,519.0,614.0,621.0,230.0,0.3094758064516129,37.0,667.0,0.9946429260801976,0.0,9.0,230.0
1983.0,1.0,16.0,518.0,635.0,619.0,211.0,0.3202218860312658,41.0,708.0,0.9945974138008915,0.0,9.0,211.0
1983.0,0.0,17.0,527.0,651.0,602.0,203.0,0.32829046898638425,40.0,748.0,0.9945607982857514,0.0,9.0,203.0
1982.0,1.0,17.0,516.0,653.0,621.0,192.0,0.3294651866801211,34.0,782.0,0.9945185213782576,0.0,9.0,192.0
1980.0,2.0,18.0,518.0,657.0,604.0,201.0,0.33181818181818185,34.0,816.0,0.9944841136279188,0.0,9.0,201.0
1977.0,3.0,20.0,516.0,654.0,607.0,200.0,0.330804248861912,37.0,853.0,0.994450015547333,0.0,9.0,200.0
1975.0,2.0,23.0,517.0,637.0,630.0,191.0,0.3225316455696203,35.0,888.0,0.9944127296391451,0.0,9.0,191.0
1973.0,2.0,25.0,510.0,624.0,645.0,194.0,0.3162696401419159,35.0,923.0,0.9943762785484634,0.0,9.0,194.0
1972.0,1.0,27.0,508.0,607.0,667.0,190.0,0.3078093306288032,33.0,956.0,0.9943421524949276,0.0,9.0,190.0
1971.0,1.0,28.0,509.0,591.0,671.0,200.0,0.2998477929984779,40.0,996.0,0.9943078343315414,0.0,9.0,200.0
